zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
19064,84.56786,0,2276,Springfield,PA,16837,6788,36.41385,97.32336,39.9311217204556,-75.3587506950343,Springfield,PA,Delaware
60108,84.57673,0,2275,Bloomingdale,IL,15488,5889,33.53564,102.3014,41.8382905862159,-88.0868386907205,Bloomingdale,IL,Du Page
98012,84.58776,0,2274,Bothell,WA,24706,10504,37.81672,94.95007,47.8413849438196,-122.191395975512,Bothell,WA,Snohomish
21212,84.63311,0,2270,Baltimore,MD,22425,8272,46.35898,80.33633,39.3559292054984,-76.6218091612346,Baltimore,MD,Baltimore City
06811,84.66234,0,2265,Danbury,CT,21037,7809,35.27594,99.53452,41.4227946056723,-73.4658176549429,Danbury,CT,Fairfield
53703,84.68597,0,2260,Madison,WI,10764,1541,60.24712,56.61254,43.0542494976791,-89.3459281115155,Madison,WI,Dane
95758,84.71052,0,2257,Elk Grove,CA,29225,12251,38.96322,93.39402,38.3468525499692,-121.4166303408,Elk Grove,CA,Sacramento
34229,84.74985,0,2248,Osprey,FL,4003,1581,37.1971,96.60287,27.2127775201457,-82.4825190488473,Osprey,FL,Sarasota
99023,84.78449,0,,Mica,WA,241,109,42.32365,87.81711,47.5572523355493,-117.170361094842,Mica,WA,Spokane
32940,84.80014,0,2242,Melbourne,FL,14481,5969,41.06761,90.02172,28.2170227514784,-80.7065968230275,Melbourne,FL,Brevard
98034,84.81163,0,2241,Kirkland,WA,27366,10181,40.83169,90.448,47.7253398683868,-122.209817115737,Kirkland,WA,King
91602,84.82281,0,2240,North Hollywood,CA,13366,3391,45.82523,81.84399,33.7883284603231,-118.286180015923,North Hollywood,CA,Los Angeles
80020,84.86168,0,2236,Broomfield,CO,29923,12912,37.79033,95.70847,40.0458515653394,-105.112595784099,Broomfield,CO,Boulder
93460,84.87569,0,2234,Santa Ynez,CA,4166,1715,36.8459,97.35474,34.6442913700641,-120.110718798778,Santa Ynez,CA,Santa Barbara
98327,84.87724,0,2233,Dupont,WA,1492,614,46.04558,81.53278,47.0905206612767,-122.641450717658,Dupont,WA,Pierce
01969,84.87864,0,2232,Rowley,MA,3619,1438,36.05968,98.7591,42.7154336947517,-70.8850856142708,Rowley,MA,Essex
18947,84.90223,0,2229,Pipersville,PA,3960,1646,37.82828,95.84055,40.4299767235549,-75.1035630634826,Pipersville,PA,Bucks
12533,84.91194,0,2226,Hopewell Junction,NY,13990,5949,33.03788,104.1516,41.7506474720874,-73.7757371613499,Hopewell Junction,NY,Dutchess
48178,84.92016,0,2225,South Lyon,MI,15955,6756,32.90505,104.4014,42.475171922269,-83.606014258909,South Lyon,MI,Oakland
49024,84.96397,0,2219,Portage,MI,18018,7879,44.43334,84.69979,42.1954606556559,-85.6345426585414,Portage,MI,Kalamazoo
15237,84.98405,0,2217,Pittsburgh,PA,30873,11775,42.23108,88.59121,40.4358728607299,-80.024217180392,Pittsburgh,PA,Allegheny
53202,85.05022,0,2207,Milwaukee,WI,16043,2212,51.65493,72.51295,43.0435125189736,-87.8926765493535,Milwaukee,WI,Milwaukee
50010,85.07505,0,2205,Ames,IA,15236,6144,53.11761,70.00368,42.038105884827,-93.5804765560323,Ames,IA,Story
50322,85.08533,0,2204,Urbandale,IA,22219,9200,42.0541,89.08418,41.628725995807,-93.7439244239288,Urbandale,IA,Polk
15101,85.09595,0,2203,Allison Park,PA,16488,6803,43.05556,87.42352,40.4339146441503,-80.011723424379,Allison Park,PA,Allegheny
68124,85.10835,0,2200,Omaha,NE,10889,4147,43.97098,85.89363,41.2342776331716,-96.0424957758689,Omaha,NE,Douglas
60014,85.11882,0,2199,Crystal Lake,IL,27261,11850,35.92678,99.76073,42.2441493696991,-88.3250883127754,Crystal Lake,IL,Mchenry
85310,85.1309,0,2197,Glendale,AZ,14012,6251,34.03511,103.0415,33.2751956778235,-112.184884199219,Glendale,AZ,Maricopa
92869,85.14156,0,2196,Orange,CA,24846,9605,34.76214,101.8503,33.6383476854403,-117.772410233926,Orange,CA,Orange
41091,85.15705,0,2194,Union,KY,7124,3210,34.11005,103.0049,38.9214251261124,-84.7564292148202,Union,KY,Boone
82844,85.159,0,,Wolf,WY,20,8,55,67.0145,44.8498493465529,-107.19116468117,Wolf,WY,Sheridan
11754,85.22153,0,2187,Kings Park,NY,12910,4907,30.23238,109.9103,40.8036834126977,-73.3003883980181,Kings Park,NY,Suffolk
13215,85.22774,0,2186,Syracuse,NY,9716,3716,40.67518,91.91644,42.973302520639,-76.2147603861062,Syracuse,NY,Onondaga
01060,85.23329,0,2185,Northampton,MA,10508,2740,52.02703,72.37566,42.4158925364678,-72.7641405605138,Northampton,MA,Hampshire
91106,85.29533,0,2177,Pasadena,CA,16458,5072,52.72208,71.3505,33.785889425483,-118.279364582542,Pasadena,CA,Los Angeles
10604,85.3377,0,2167,West Harrison,NY,7289,2675,35.56043,101.1599,41.1554103508081,-73.803252719204,West Harrison,NY,Westchester
45430,85.35062,0,2165,Dayton,OH,4901,2054,35.33973,101.5534,39.7083220867664,-84.0858459110287,Dayton,OH,Montgomery
